Customer_Id,Name,Email,SSN,Phone,Address
C1192505,JaniceGilbert,janice.gilbert@gmail.com,706-34-5050,+1(256) 571-7615,6662 Oak Ridge Ln Rialto New Hampshire United States 87527
C2613307,DannyGibson,danny.gibson@gmail.com,384-10-1228,+1(861) 630-9486,4907 Paddock Way Glendale Colorado United States 46495
C6736320,PeterPalmer,peter.palmer@gmail.com,066-62-2817,+1(874) 646-1673,7368 Northaven Rd San Bernardino Washington United States 60523
C9991322,JarCollins,jar.collins@gmail.com,522-56-5095,+1(329) 451-0468,1010 E North St Akron Wisconsin United States 15374
C4285883,GeneGutierrez,gene.gutierrez@gmail.com,132-54-6865,+1(721) 390-8329,5406 Preston Rd Mesquite Wyoming United States 48829
C3643548,GlendaWatts,glenda.watts@gmail.com,788-86-4710,+1(365) 638-6289,606 Groveland Terrace Waco Connecticut United States 80076
C4045260,IsabellaLawson,isabella.lawson@gmail.com,137-32-6748,+1(458) 273-1903,4258 Hickory Creek Dr Winston–Salem Idaho United States 34239
C5555503,FrancesGardner,frances.gardner@gmail.com,489-45-5298,+1(961) 645-2069,876 Washington Ave Pasadena Illinois United States 92326
C5499030,MelissaMontgomery,melissa.montgomery@gmail.com,601-98-3212,+1(697) 907-5570,809 James St Oceanside Oklahoma United States 99359
C5262769,BethCampbell,beth.campbell@gmail.com,253-17-9663,+1(350) 888-9566,1765 Ash Dr Oakland Delaware United States 60298
C8008333,VernonFuller,vernon.fuller@gmail.com,820-59-1512,+1(913) 238-2263,2567 Ash Dr Richardson Colorado United States 76149
C3350201,WallaceBurke,wallace.burke@gmail.com,120-26-7115,+1(637) 239-2535,305 Dogwood Ave Carrollton Alabama United States 12491
C3410804,KentRomero,kent.romero@gmail.com,745-17-6138,+1(721) 517-2260,8293 Oak Lawn Ave Forney Massachusetts United States 70983
C1878342,GloriaVasquez,gloria.vasquez@gmail.com,005-60-6396,+1(768) 270-2352,5346 Green Rd Surrey Louisiana United States 93024
C9308880,KatrinaThomas,katrina.thomas@gmail.com,497-28-6224,+1(484) 240-3772,4106 Fincher Rd Fontana West Virginia United States 99465
C2083376,SherriStewart,sherri.stewart@gmail.com,482-31-5638,+1(550) 676-7383,777 College St Lewiston Florida United States 93082
C7315364,BellaTucker,bella.tucker@gmail.com,054-68-3329,+1(443) 567-9283,1313 Hamilton Ave Fargo Tennessee United States 43728
C9510813,DarleneLee,darlene.lee@gmail.com,590-77-1341,+1(896) 988-9500,6238 Fairview St Detroit New Jersey United States 10183
C2361632,IrmaElliott,irma.elliott@gmail.com,464-49-9466,+1(857) 318-2280,8027 Camden Ave Bernalillo Wyoming United States 46017
C1903659,ZackCarroll,zack.carroll@gmail.com,604-67-1608,+1(624) 601-3239,5032 Bollinger Rd Tucson Alaska United States 97544
C6715497,DustinMccoy,dustin.mccoy@gmail.com,768-12-7699,+1(293) 516-2211,1730 Depaul Dr Seymour Pennsylvania United States 11431
C2315355,LandonRichards,landon.richards@gmail.com,440-59-4316,+1(204) 480-2531,6598 Paddock Way Shiloh Mississippi United States 19472
C8385452,TylerSilva,tyler.silva@gmail.com,865-68-5641,+1(242) 479-4147,3031 Timber Wolf Trail Columbus Maryland United States 48021
C2695089,GabriellaDavidson,gabriella.davidson@gmail.com,111-68-7055,+1(759) 661-8553,3225 Sunset St Fairfield West Virginia United States 62793
C9777956,VirgilWheeler,virgil.wheeler@gmail.com,420-94-3083,+1(909) 926-9771,1712 Elgin St Tampa North Dakota United States 66111
C7749934,SeanFord,sean.ford@gmail.com,681-43-2595,+1(674) 408-0866,9380 Central St Shiloh Hawaii United States 32924
C4942347,HaileyLane,hailey.lane@gmail.com,787-83-1137,+1(671) 510-3947,4105 Lakeview St Saginaw Hawaii United States 13239
C6463621,SueMurphy,sue.murphy@gmail.com,407-88-2801,+1(990) 276-8307,4466 Dogwood Ave Naperville Missouri United States 93865
C6558864,SarahRose,sarah.rose@gmail.com,245-36-3297,+1(412) 414-1977,6916 Hunters Creek Dr Orlando Arkansas United States 19703
