Transacton_Id,Account_No,Time_stamp,Amount,Transaction_mode
04b9d00f02940fe,1.08E+15,5/1/2021 17:28,"-INR 3,925.00",RTGS
98aa0fb8d2871cf,1.03E+15,3/25/2022 1:37,"INR 58,600.00",NEFT
df8ce7984204433,1.07E+15,7/22/2021 22:30,"INR 53,650.00",Cheque
0194641a0ed5d32,1.10E+15,5/13/2022 8:54,"INR 16,525.00",NEFT
5f585318e37c4a7,1.04E+15,1/29/2022 17:12,"-INR 40,150.00",NEFT
83690e6d663e61c,1.03E+15,3/10/2021 1:58,"-INR 30,475.00",Cheque
27154373d714e54,1.08E+15,10/1/2021 15:55,"-INR 33,625.00",RTGS
70dd1318750bfef,1.02E+15,9/10/2022 9:46,"-INR 10,225.00",NEFT
8ff6eed640073cc,1.03E+15,2/1/2021 6:21,"-INR 14,500.00",Wire Transfer
8c0d06a7878b34b,1.07E+15,9/12/2021 17:58,"INR 20,575.00",Wire Transfer
e1551225ea62a1d,1.02E+15,7/11/2022 1:21,"INR 4,375.00",RTGS
033ca02b9a26da8,1.05E+15,3/20/2022 3:34,"INR 45,325.00",NEFT
a44a398d75bb4b2,1.09E+15,1/9/2021 12:49,"INR 23,500.00",NEFT
d86ba23d7f88917,1.01E+15,10/2/2021 10:51,"-INR 42,625.00",NEFT
a28509512313ebd,1.04E+15,9/11/2021 14:53,"-INR 22,825.00",Wire Transfer
ea9e28efd19b3fe,1.02E+15,5/31/2021 4:31,"INR 1,000.00",NEFT
bfb76655017f097,1.07E+15,1/23/2022 5:25,"INR 16,075.00",Cheque
07f61cb96e3180a,1.05E+15,5/11/2021 15:41,"INR 49,150.00",Wire Transfer
c1cd1841f6807a8,1.03E+15,5/31/2021 14:37,"INR 8,875.00",Cheque
a188efccf4f2374,1.07E+15,4/6/2022 0:28,"-INR 15,850.00",Wire Transfer
27554874951bdc8,1.04E+15,6/29/2022 15:06,"INR 44,650.00",Cheque
2f1519a8d4b14eb,1.02E+15,8/20/2022 9:14,"-INR 13,375.00",NEFT
be006226b0602c0,1.04E+15,12/15/2021 1:39,"-INR 30,250.00",RTGS
10c3ff084d01c73,1.03E+15,1/11/2021 5:39,"-INR 23,275.00",Wire Transfer
f112a087d96c7a7,1.05E+15,7/11/2022 6:19,"-INR 2,125.00",NEFT
2bd056a2fe80440,1.02E+15,6/7/2022 2:22,"INR 41,050.00",Cheque
7d4d13a06bdab5b,1.06E+15,9/8/2022 21:24,"-INR 12,250.00",NEFT
