Transacton_Id,Account_no,Time_stamp,Amount,Transaction_mode
04b9d00f02940fe,1.04313E+15,3/23/2021 6:41,55225,Cheque
98aa0fb8d2871cf,1.07355E+15,3/31/2022 23:33,-22375,Cheque
df8ce7984204433,1.06293E+15,2/7/2022 22:02,16525,RTGS
0194641a0ed5d32,1.05463E+15,3/2/2021 14:01,3025,Cheque
5f585318e37c4a7,1.08331E+15,12/8/2021 18:44,17875,RTGS
83690e6d663e61c,1.08387E+15,5/25/2021 7:38,-35200,Cheque
27154373d714e54,1.07884E+15,5/19/2021 5:53,-50275,Wire Transfer
70dd1318750bfef,1.01164E+15,3/30/2022 16:27,-325,RTGS
8ff6eed640073cc,1.06119E+15,7/24/2021 14:33,-100,Cheque
8c0d06a7878b34b,1.02331E+15,2/16/2021 0:42,-15400,RTGS
e1551225ea62a1d,1.06214E+15,4/28/2022 20:52,27550,RTGS
033ca02b9a26da8,1.08386E+15,3/3/2022 5:55,-325,NEFT
a44a398d75bb4b2,1.01542E+15,4/7/2022 2:47,8650,NEFT
d86ba23d7f88917,1.09369E+15,11/9/2021 3:19,-27100,NEFT
a28509512313ebd,1.02807E+15,10/31/2021 1:50,-23500,Wire Transfer
ea9e28efd19b3fe,1.05001E+15,8/30/2021 20:00,-16975,RTGS
bfb76655017f097,1.06294E+15,3/30/2021 6:03,21925,RTGS
07f61cb96e3180a,1.06647E+15,7/13/2022 22:56,-57025,Wire Transfer
c1cd1841f6807a8,1.06155E+15,6/16/2022 1:55,42175,Wire Transfer
a188efccf4f2374,1.06967E+15,8/20/2021 19:53,775,Cheque
27554874951bdc8,1.04942E+15,3/23/2022 2:09,-41500,Wire Transfer
2f1519a8d4b14eb,1.02055E+15,1/14/2021 9:06,12250,Wire Transfer
be006226b0602c0,1.07048E+15,4/14/2021 4:58,57925,RTGS
10c3ff084d01c73,1.02545E+15,1/3/2022 11:32,12250,RTGS
f112a087d96c7a7,1.01551E+15,11/8/2021 1:53,31375,RTGS
2bd056a2fe80440,1.0186E+15,8/13/2021 14:31,-34075,RTGS
7d4d13a06bdab5b,1.07404E+15,7/16/2022 10:14,-40825,Wire Transfer
c41e004fa4f1c28,1.059E+15,8/6/2021 11:42,49825,Wire Transfer
8c38c4269e74302,1.01621E+15,4/23/2022 7:55,2800,Cheque
64ac94505e7e509,1.06114E+15,5/5/2022 21:57,-26200,Wire Transfer
d9b2250576d60bf,1.02647E+15,9/9/2021 9:42,19225,NEFT
f044b7e22854946,1.0239E+15,4/9/2022 2:38,12475,NEFT
a0e61441b98ff3e,1.08726E+15,6/19/2022 10:25,-1900,Wire Transfer
569b4798cc27042,1.01462E+15,3/30/2021 22:11,58150,RTGS
c2d8cf4ef0c9b0e,1.03368E+15,7/8/2021 1:14,-1450,Wire Transfer
ec2a2abd26f3523,1.0421E+15,3/13/2021 15:57,50050,Wire Transfer
faef7c5adc72f83,1.07473E+15,7/23/2022 8:39,23050,NEFT
03b4fe9551e6862,1.04864E+15,12/30/2021 1:08,8875,Wire Transfer
5c2a2d59b7c0d1d,1.08251E+15,3/29/2022 14:12,8650,NEFT
a0625a3904c8f23,1.06487E+15,11/13/2021 19:44,39250,RTGS
f41daa903ec50f6,1.08165E+15,8/23/2021 6:00,43300,RTGS
12ea44c44f7a039,1.04839E+15,8/24/2022 18:32,24400,RTGS
7ebab92264e78c0,1.03118E+15,1/21/2022 2:26,44425,Wire Transfer
78f85b7f8fc55a1,1.09911E+15,5/31/2022 20:43,-50050,RTGS
5a26f718cc670aa,1.01856E+15,3/17/2021 8:17,23275,NEFT
32973c0a4c7b6f0,1.03135E+15,4/27/2022 0:39,-52525,Cheque
a6eac8c11bc772f,1.06831E+15,9/9/2022 10:53,-19450,RTGS
4609e6c7a171fb0,1.05852E+15,1/3/2021 13:09,-29575,RTGS
e6e79f9bba09f88,1.05328E+15,1/9/2021 17:21,-7750,Cheque
16fc7b324e1f63a,1.08306E+15,8/7/2022 14:56,-31375,Cheque
538aa6b0107b09e,1.08194E+15,8/1/2021 16:33,-57700,Cheque
6dd60653bf193fc,1.02926E+15,8/26/2021 4:43,-15850,RTGS
227b678a66fbe6f,1.08319E+15,5/24/2021 15:26,-37225,Wire Transfer
347f322dfaed95c,1.0609E+15,8/4/2021 18:36,-30700,NEFT
64c55587b38a364,1.02733E+15,3/13/2022 5:31,3250,RTGS
a7adb4f5fc45cbb,1.02939E+15,4/21/2021 1:31,3250,Wire Transfer
1ef479f4466068f,1.09345E+15,6/29/2021 23:54,53425,NEFT
79ac8dc411624b3,1.08855E+15,6/25/2022 7:23,32275,Wire Transfer
8e6ff0279f4ab58,1.09749E+15,3/15/2021 13:05,8650,Cheque
514f8f7512ad85e,1.04453E+15,10/1/2021 0:17,40375,NEFT
3366b2e73f2bd4a,1.06056E+15,1/9/2021 12:46,-13375,Wire Transfer
4fd73c7c509ad87,1.079E+15,12/5/2021 12:38,22150,RTGS
118f007019bdc10,1.05772E+15,1/5/2022 5:17,-13375,Wire Transfer
65edd7f8a19bbd9,1.03754E+15,12/16/2021 1:04,48925,Cheque
3aafd5978ddd414,1.02601E+15,5/6/2021 12:14,30925,NEFT
a32dd74cd217e26,1.09773E+15,11/30/2021 17:12,-59500,Cheque
f4b879222a64bcd,1.01804E+15,2/16/2022 8:07,-4600,Cheque
50561d8ec728490,1.01449E+15,6/27/2021 21:20,-21700,Wire Transfer
870f23e87baa1bd,1.06125E+15,10/28/2021 9:09,-33175,RTGS
4e1889f5e2f53e1,1.07046E+15,7/31/2021 10:01,44425,RTGS
999b83af41c6b33,1.06624E+15,9/26/2021 14:32,-25075,Cheque
db022846e3c08c8,1.05316E+15,2/26/2022 20:27,-58375,Cheque
56bdf2a21a843e8,1.02784E+15,6/9/2022 9:20,35425,NEFT
5373527741406f9,1.04241E+15,5/12/2021 14:52,-12925,NEFT
03cc3825a8405fb,1.05149E+15,7/30/2021 8:44,-16075,RTGS
4bc71ad5d3ea71d,1.04923E+15,5/13/2021 15:58,-44650,RTGS
00201c83599e407,1.08195E+15,7/17/2021 22:11,49150,Cheque
addd1a67b67475b,1.0395E+15,8/17/2021 10:52,-325,NEFT
a10d5a788c50179,1.08599E+15,7/3/2022 15:03,17875,NEFT
e24edb96954f93a,1.07006E+15,6/9/2021 11:34,21700,Cheque
388e7a9086ac287,1.02744E+15,5/20/2021 17:33,-37450,Wire Transfer
c4c38d8e5812097,1.08826E+15,4/4/2022 2:11,-25975,Wire Transfer
35bc4f26ad4ccdd,1.0265E+15,5/3/2022 7:52,-18325,RTGS
11305c0cfae5028,1.04414E+15,1/20/2022 17:37,5725,NEFT
435ccdc78dea2ac,1.05535E+15,2/28/2022 6:34,34975,Wire Transfer
062cb562c3abb67,1.0663E+15,3/27/2022 20:17,-27550,RTGS
734fbda99eb31af,1.02664E+15,7/22/2021 5:51,58600,NEFT
3568c625ca90a6b,1.02558E+15,7/5/2021 13:41,-5050,NEFT
05e2f2519090329,1.05487E+15,3/1/2021 15:54,46225,Wire Transfer
80c993c4a834c85,1.08248E+15,6/20/2022 23:12,-26425,Wire Transfer
c06276732bc782c,1.07509E+15,2/8/2021 10:10,-43525,Cheque
83f11481cb9ede2,1.06449E+15,8/12/2021 18:29,10450,RTGS
e60457a6ed53dc5,1.0182E+15,12/1/2021 22:05,-16750,NEFT
9bc0ab3335bdcad,1.0189E+15,8/28/2021 4:00,20125,RTGS
79402a590c7f4b0,1.03799E+15,11/26/2021 5:07,-57925,Cheque
80ae3b7b28e9ff6,1.08738E+15,11/8/2021 0:57,-30700,Cheque
40f10b7a5d252a4,1.03228E+15,8/20/2021 4:50,-3925,Wire Transfer
bf822e801069072,1.02807E+15,2/26/2022 16:29,32725,Cheque
6d9cbf5b8dfb72a,1.04055E+15,9/7/2022 7:37,38350,NEFT
e2934c265de0d38,1.06254E+15,7/9/2022 5:28,-14275,Wire Transfer
5e66ebbabf3cd51,1.08954E+15,10/13/2021 14:56,33175,RTGS
6dabcb327f31b42,1.04424E+15,8/24/2021 17:05,22375,Cheque
380eff7192698a5,1.05604E+15,7/7/2022 9:29,-28450,NEFT
1c259b7537c55d4,1.07203E+15,9/3/2021 14:57,37450,RTGS
6579bb6375f1854,1.09415E+15,9/26/2021 5:48,-58825,RTGS
70810c44581288d,1.09291E+15,3/17/2021 7:07,-40375,RTGS
cf42105359a07c3,1.04594E+15,9/12/2021 4:57,-15175,Wire Transfer
e1a8be942b55490,1.02499E+15,9/26/2021 10:48,35650,NEFT
b9cf41a3b08b210,1.06297E+15,2/14/2021 16:16,12250,Cheque
6c046e37f1d32a5,1.06947E+15,1/9/2022 5:13,18325,RTGS
a0366801d5bea17,1.0303E+15,6/11/2022 17:39,7975,Cheque
0269d8ff6760467,1.05773E+15,2/23/2022 12:32,-23725,Cheque
248d1a1aff91d75,1.02634E+15,3/22/2022 3:51,-7525,NEFT
11cb2aa37721ad4,1.01388E+15,5/22/2022 7:34,11800,Cheque
8d48d4e4bf0e30e,1.05192E+15,9/15/2022 4:56,4375,Wire Transfer
d7ff50d50803c49,1.04057E+15,4/1/2022 11:38,-3700,NEFT
bd7b9ff9dea7453,1.06363E+15,9/25/2022 5:23,47350,Wire Transfer
16cee254c5cc711,1.01241E+15,2/14/2021 12:00,-56125,NEFT
710a6b82589f1db,1.0973E+15,5/25/2021 7:01,19225,NEFT
b33a08f8b10d39c,1.09974E+15,3/11/2022 9:48,-14050,Wire Transfer
8196fcc664be0ea,1.06979E+15,6/15/2021 8:50,-36100,RTGS
348f291359b974c,1.03447E+15,1/8/2022 9:55,-19225,Wire Transfer
170420b893ade51,1.09753E+15,1/1/2022 19:40,4150,NEFT
1836bfd4fde6693,1.0724E+15,10/24/2021 2:51,-42400,RTGS
c168331647e5513,1.0746E+15,11/30/2021 7:19,3925,Cheque
99493a34a72c9fb,1.03497E+15,12/3/2021 3:31,-325,NEFT
c4afb1cb98a7af5,1.01909E+15,2/9/2021 9:15,-53650,NEFT
dbb401e539a59b4,1.0837E+15,1/6/2022 5:56,-8200,NEFT
70b3fbceccb258e,1.05772E+15,2/24/2022 23:11,-27100,Cheque
6a63e781ed9bde0,1.03541E+15,5/20/2022 2:11,-52750,Cheque
edb11d2c5554604,1.04928E+15,6/26/2021 16:56,25750,RTGS
8b02b7eb77a468b,1.06205E+15,7/18/2021 18:06,-59725,Wire Transfer
a03fb563c32f158,1.03083E+15,3/8/2021 10:23,-37675,NEFT
771c86e5b281258,1.04063E+15,2/1/2022 21:37,6625,RTGS
de5ee7ddd7752a4,1.06537E+15,10/22/2021 13:55,43750,NEFT
427483ef4853d95,1.06138E+15,6/7/2022 23:09,6850,Cheque
5af874a3303dd30,1.06531E+15,3/11/2022 13:46,-30025,Cheque
11138b53c516e68,1.08025E+15,5/29/2022 14:52,-49150,Cheque
f51bc383c92c764,1.03697E+15,3/11/2021 13:55,-49375,NEFT
28fdd9efdde18b0,1.04926E+15,2/25/2022 10:29,-7075,Cheque
0a901a6471934e9,1.01857E+15,11/15/2021 21:27,4150,RTGS
846dc4d0db0ace9,1.06288E+15,9/15/2022 9:15,20800,Wire Transfer
c9d1faa89d98b64,1.06314E+15,6/9/2022 2:12,-12250,NEFT
dfa29ffef9dcc5f,1.09213E+15,1/10/2022 19:04,35425,Wire Transfer
2443a970baf9b7f,1.01597E+15,6/12/2022 0:37,-49375,Wire Transfer
23deff446a014ff,1.02714E+15,12/8/2021 18:35,-1900,RTGS
a5d4128eeb1690e,1.04255E+15,10/31/2021 21:08,22150,Wire Transfer
ceec87dd37403b0,1.02082E+15,12/30/2021 21:28,20800,Wire Transfer
d2a7b8d20ea5ab0,1.01599E+15,2/13/2022 0:03,-47575,RTGS
88e762c0ce9aac4,1.06504E+15,4/1/2022 20:21,30475,Wire Transfer
e16de56ddeb1ad8,1.08036E+15,10/10/2021 11:04,-19000,RTGS
d912efad991557a,1.0676E+15,6/19/2022 14:08,48925,NEFT
178bc6e14804eb9,1.06966E+15,4/21/2022 0:31,-28900,RTGS
38c344077e6d3b4,1.01714E+15,5/28/2022 13:42,19675,Wire Transfer
f71359172002f8f,1.06121E+15,8/22/2022 14:55,-2125,RTGS
e4c3a7127b4956e,1.01324E+15,4/17/2021 22:21,55450,NEFT
e4b95ff7eb23fb8,1.04729E+15,1/12/2021 3:50,-47575,NEFT
6b02a9ed178bc50,1.04995E+15,9/29/2021 15:02,-5050,Cheque
f328dbbf5067df2,1.06823E+15,1/13/2021 4:25,-43075,NEFT
03f2d38c411b423,1.03273E+15,10/28/2021 7:15,-5275,NEFT
f9fda23549bee4f,1.08477E+15,4/16/2022 16:18,-47350,NEFT
6b3b64ba6c3d817,1.04778E+15,8/8/2022 20:02,28000,Cheque
d294aea533c86a2,1.0482E+15,3/15/2021 22:47,50725,NEFT
731d6c9c1915a74,1.08193E+15,6/24/2021 23:40,49150,RTGS
711056dbfe3bdd7,1.05527E+15,6/1/2021 20:03,-6400,NEFT
68d9a1e6d497cdc,1.05591E+15,10/2/2021 7:37,13825,Wire Transfer
cb4c7c2339a472d,1.08692E+15,8/23/2022 7:53,13600,Wire Transfer
c457f0d857fa3d7,1.02059E+15,7/5/2022 19:40,-33850,Cheque
