,Transacton_Id,Account_no,Time_stamp,Amount,Transaction_mode
0,04b9d00f02940fe,1043126890158540,2021-03-23 06:41:06,+55225,Cheque
1,98aa0fb8d2871cf,1073545491380160,2022-03-31 23:33:55,-22375,Cheque
2,df8ce7984204433,1062932329102920,2022-02-07 22:02:08,+16525,RTGS
3,0194641a0ed5d32,1054634368375220,2021-03-02 14:01:01,+3025,Cheque
4,5f585318e37c4a7,1083306127571230,2021-12-08 18:44:03,+17875,RTGS
5,83690e6d663e61c,1083873109508030,2021-05-25 07:38:36,-35200,Cheque
6,27154373d714e54,1078840828764490,2021-05-19 05:53:58,-50275,Wire Transfer
7,70dd1318750bfef,1011640798964750,2022-03-30 16:27:41,-325,RTGS
8,8ff6eed640073cc,1061194728567060,2021-07-24 14:33:56,-100,Cheque
9,8c0d06a7878b34b,1023308129886240,2021-02-16 00:42:15,-15400,RTGS
10,e1551225ea62a1d,1062139905406030,2022-04-28 20:52:12,+27550,RTGS
11,033ca02b9a26da8,1083864553701440,2022-03-03 05:55:05,-325,NEFT
12,a44a398d75bb4b2,1015420380096450,2022-04-07 02:47:51,+8650,NEFT
13,d86ba23d7f88917,1093694947010910,2021-11-09 03:19:56,-27100,NEFT
14,a28509512313ebd,1028074005274290,2021-10-31 01:50:12,-23500,Wire Transfer
15,ea9e28efd19b3fe,1050006584580490,2021-08-30 20:00:50,-16975,RTGS
16,bfb76655017f097,1062944542637280,2021-03-30 06:03:05,+21925,RTGS
17,07f61cb96e3180a,1066472079140290,2022-07-13 22:56:56,-57025,Wire Transfer
18,c1cd1841f6807a8,1061545598162240,2022-06-16 01:55:53,+42175,Wire Transfer
19,a188efccf4f2374,1069671996453050,2021-08-20 19:53:19,+775,Cheque
20,27554874951bdc8,1049419564140960,2022-03-23 02:09:33,-41500,Wire Transfer
21,2f1519a8d4b14eb,1020547894707150,2021-01-14 09:06:00,+12250,Wire Transfer
22,be006226b0602c0,1070483292276660,2021-04-14 04:58:24,+57925,RTGS
23,10c3ff084d01c73,1025450193753410,2022-01-03 11:32:24,+12250,RTGS
24,f112a087d96c7a7,1015512191265930,2021-11-08 01:53:56,+31375,RTGS
25,2bd056a2fe80440,1018596027899920,2021-08-13 14:31:14,-34075,RTGS
26,7d4d13a06bdab5b,1074035734443590,2022-07-16 10:14:09,-40825,Wire Transfer
27,c41e004fa4f1c28,1058995723769540,2021-08-06 11:42:35,+49825,Wire Transfer
28,8c38c4269e74302,1016211580358140,2022-04-23 07:55:13,+2800,Cheque
29,64ac94505e7e509,1061144137228240,2022-05-05 21:57:15,-26200,Wire Transfer
30,d9b2250576d60bf,1026473456371960,2021-09-09 09:42:01,+19225,NEFT
31,f044b7e22854946,1023897372336660,2022-04-09 02:38:58,+12475,NEFT
32,a0e61441b98ff3e,1087264201637350,2022-06-19 10:25:41,-1900,Wire Transfer
33,569b4798cc27042,1014617027721500,2021-03-30 22:11:05,+58150,RTGS
34,c2d8cf4ef0c9b0e,1033680378325730,2021-07-08 01:14:46,-1450,Wire Transfer
35,ec2a2abd26f3523,1042096610700750,2021-03-13 15:57:22,+50050,Wire Transfer
36,faef7c5adc72f83,1074726616760910,2022-07-23 08:39:40,+23050,NEFT
37,03b4fe9551e6862,1048640663651340,2021-12-30 01:08:48,+8875,Wire Transfer
38,5c2a2d59b7c0d1d,1082510519446520,2022-03-29 14:12:02,+8650,NEFT
39,a0625a3904c8f23,1064873058655630,2021-11-13 19:44:01,+39250,RTGS
40,f41daa903ec50f6,1081654835084020,2021-08-23 06:00:15,+43300,RTGS
41,12ea44c44f7a039,1048388879201790,2022-08-24 18:32:55,+24400,RTGS
42,7ebab92264e78c0,1031177303228560,2022-01-21 02:26:03,+44425,Wire Transfer
43,78f85b7f8fc55a1,1099110231279070,2022-05-31 20:43:10,-50050,RTGS
44,5a26f718cc670aa,1018557594011870,2021-03-17 08:17:36,+23275,NEFT
45,32973c0a4c7b6f0,1031353619687240,2022-04-27 00:39:09,-52525,Cheque
46,a6eac8c11bc772f,1068310014451060,2022-09-09 10:53:28,-19450,RTGS
47,4609e6c7a171fb0,1058523589537350,2021-01-03 13:09:54,-29575,RTGS
48,e6e79f9bba09f88,1053282002201270,2021-01-09 17:21:46,-7750,Cheque
49,16fc7b324e1f63a,1083063451830230,2022-08-07 14:56:37,-31375,Cheque
50,538aa6b0107b09e,1081943417302310,2021-08-01 16:33:42,-57700,Cheque
51,6dd60653bf193fc,1029256868530100,2021-08-26 04:43:53,-15850,RTGS
52,227b678a66fbe6f,1083188175663290,2021-05-24 15:26:11,-37225,Wire Transfer
53,347f322dfaed95c,1060895092528750,2021-08-04 18:36:49,-30700,NEFT
54,64c55587b38a364,1027326377384190,2022-03-13 05:31:38,+3250,RTGS
55,a7adb4f5fc45cbb,1029390023298470,2021-04-21 01:31:25,+3250,Wire Transfer
56,1ef479f4466068f,1093450743462170,2021-06-29 23:54:44,+53425,NEFT
57,79ac8dc411624b3,1088546730073350,2022-06-25 07:23:36,+32275,Wire Transfer
