,Loan_id,Account_no,Sanctioned_amount,Requested_amount,Disbursed_amount,Collateral,Collateral_type,Purpose_of_loan,Branch_id
0,500051683928,1030662437414340,3485000,4100000,383350,17425000,Vehicles,Education,BSABUF20
1,500058952467,1056042769019200,2175000,2900000,456750,10875000,Fixed Deposit,Agriculture,BSABUF01
2,500058178766,1023521043185750,2047000,2300000,1166790,6141000,Residential Mortgages,Home,BSABUF20
3,500053494098,1028074005274290,2025000,2700000,627750,10125000,Fixed Deposit,Education,BSABUF14
4,500054812991,1016292440957120,790000,1000000,639900,2370000,Fixed Deposit,Agriculture,BSABUF12
5,500053880975,1042299613059080,87000,100000,31320,348000,Residential Mortgages,Education,BSABUF17
6,500053766894,1089457263238460,84000,100000,40320,420000,Fixed Deposit,Business,BSABUF20
7,500056654539,1074878270540850,1292000,1700000,206720,6460000,Residential Mortgages,Business,BSABUF06
8,500052674859,1065791914596580,79000,100000,6320,395000,Equipment and machinery,Home,BSABUF11
9,500052011772,1083920674670570,996000,1200000,268920,2988000,Vehicles,Education,BSABUF01
10,500056379635,1077935675377350,2262000,2600000,1719120,9048000,Equipment and machinery,Home,BSABUF24
11,500051893906,1089840886038530,3666000,3900000,439920,18330000,Residential Mortgages,Agriculture,BSABUF14
12,500052248993,1057015008004180,3984000,4800000,3466080,19920000,Vehicles,Home,BSABUF15
13,500056974598,1094101818882140,2024000,2300000,829840,10120000,Residential Mortgages,Agriculture,BSABUF24
14,500058569917,1071098785178570,3395000,3500000,2444400,10185000,Fixed Deposit,Education,BSABUF03
15,500051689490,1098299438592840,3528000,4900000,176400,10584000,Vehicles,Education,BSABUF11
16,500053621011,1065666374169850,1056000,1100000,739200,4224000,Residential Mortgages,Home,BSABUF09
17,500051310955,1073867561865850,1232000,1400000,702239,4928000,Fixed Deposit,Home,BSABUF21
18,500058222482,1025893908750520,3139000,4300000,345290,15695000,Vehicles,Business,BSABUF16
19,500055930373,1075086877757350,186000,200000,0,930000,Equipment and machinery,Business,BSABUF17
20,500057516930,1094527820922600,657000,900000,571590,1971000,Residential Mortgages,Business,BSABUF11
21,500053607229,1072141470136190,2112000,2400000,190080,10560000,Vehicles,Education,BSABUF02
22,500057959252,1085916810214180,3040000,4000000,1307200,15200000,Equipment and machinery,Education,BSABUF24
23,500054962706,1042854831137490,1358000,1400000,298760,5432000,Fixed Deposit,Agriculture,BSABUF14
24,500059536575,1017191635342640,3400000,4000000,1564000,13600000,Vehicles,Education,BSABUF19
25,500058217143,1084067070827600,720000,800000,612000,3600000,Fixed Deposit,Home,BSABUF20
